identifier,Protein families,Fragment,Scoloptoxin,protein_category
P0C299,Long (3 C-C) scorpion toxin superfamily,mature_seq (NO_SP),other,scorpion_long_toxin
P0C2L4,other,mature_seq (NO_SP),other,neurotoxin
P0C2S6,Neurotoxin 02 (plectoxin) family,full_seq (SP),other,neurotoxin
P0C2S8,other,mature_seq (NO_SP),other,neurotoxin
P0C608,Conotoxin I1 superfamily,mature_seq (NO_SP),other,conotoxin
P0C609,Conotoxin I1 superfamily,mature_seq (NO_SP),other,conotoxin
P0C612,Conotoxin I1 superfamily,mature_seq (NO_SP),other,conotoxin
P0C613,Conotoxin I1 superfamily,mature_seq (NO_SP),other,conotoxin
P0C830,Conotoxin A superfamily,mature_seq (NO_SP),other,conotoxin
P0C8U3,Conotoxin A superfamily,mature_seq (NO_SP),other,conotoxin
P0C8V0,Conotoxin A superfamily,full_seq (SP),other,conotoxin
P0C8W5,other,full_seq (SP),other,scorpion_long_toxin
P0C8X8,Short scorpion toxin superfamily,full_seq (SP),other,scorpion_short_toxin
P0C901,Conotoxin A superfamily,mature_seq (NO_SP),other,conotoxin
P0C903,Conotoxin O1 superfamily,full_seq (SP),other,conotoxin
P0C905,Conotoxin O1 superfamily,mature_seq (NO_SP),other,conotoxin
P0CAZ9,other,full_seq (SP),other,cationic_peptide
P0CD68,MCD family,mature_seq (NO_SP),other,mcd_related
P0CH55,Neurotoxin 10 (Hwtx-1) family,mature_seq (NO_SP),other,neurotoxin
P0CH58,Non-disulfide-bridged peptide (NDBP) superfamily,mature_seq (NO_SP),other,
P0CH72,Neurotoxin 10 (Hwtx-1) family,mature_seq (NO_SP),other,neurotoxin
P0CI13,other,full_seq (SP),other,conotoxin
P0CI46,Short scorpion toxin superfamily,full_seq (SP),other,scorpion_ktx
P0CI47,Short scorpion toxin superfamily,full_seq (SP),other,scorpion_ktx
P0CI50,Long (4 C-C) scorpion toxin superfamily,full_seq (SP),other,scorpion_long_toxin
P0CI54,Long (4 C-C) scorpion toxin superfamily,mature_seq (NO_SP),other,scorpion_long_toxin
P0CI56,Long (4 C-C) scorpion toxin superfamily,mature_seq (NO_SP),other,scorpion_long_toxin
P0CI86,Short scorpion toxin superfamily,mature_seq (NO_SP),other,scorpion_ktx
P0CI91,Non-disulfide-bridged peptide (NDBP) superfamily,full_seq (SP),other,antimicrobial_peptide
P0CI92,Non-disulfide-bridged peptide (NDBP) superfamily,full_seq (SP),other,antimicrobial_peptide
P0CI98,Long (3 C-C) scorpion toxin superfamily,full_seq (SP),other,scorpion_long_toxin
P0CJ00,Long (3 C-C) scorpion toxin superfamily,mature_seq (NO_SP),other,scorpion_long_toxin
P0CY63,Conotoxin O1 superfamily,full_seq (SP),other,conotoxin
P0CY64,Conotoxin O1 superfamily,full_seq (SP),other,conotoxin
P0CY80,Conotoxin A superfamily,mature_seq (NO_SP),other,conotoxin
P0CY87,Conotoxin A superfamily,full_seq (SP),other,conotoxin
P0DJ33,Short scorpion toxin superfamily,full_seq (SP),other,scorpion_ktx
P0DKN0,other,full_seq (SP),other,conotoxin
P0DKN1,other,full_seq (SP),other,conotoxin
P0DKN2,other,full_seq (SP),other,conotoxin
P0DL35,Short scorpion toxin superfamily,full_seq (SP),other,scorpion_ktx
P0DL66,Conotoxin O1 superfamily,mature_seq (NO_SP),other,conotoxin
P0DM17,other,full_seq (SP),other,
P0DM20,other,full_seq (SP),other,conotoxin
P0DM34,other,full_seq (SP),other,conotoxin
P0DM54,Bradykinin-potentiating peptide family,mature_seq (NO_SP),other,bradykinin_related
P0DMA1,Conotoxin M superfamily,mature_seq (NO_SP),other,conotoxin
P0DMA3,Conotoxin O1 superfamily,mature_seq (NO_SP),other,conotoxin
P0DMB3,Conotoxin M superfamily,mature_seq (NO_SP),other,conotoxin
P0DMD8,other,full_seq (SP),other,neurotoxin
P0DN44,other,full_seq (SP),other,teretoxin
P0DN47,other,full_seq (SP),other,teretoxin
P0DN51,other,mature_seq (NO_SP),other,teretoxin
P0DN52,other,full_seq (SP),other,teretoxin
P0DN59,other,mature_seq (NO_SP),other,teretoxin
P0DN60,other,full_seq (SP),other,teretoxin
P0DN63,other,full_seq (SP),other,teretoxin
P0DN64,other,full_seq (SP),other,teretoxin
P0DN65,other,full_seq (SP),other,teretoxin
P0DP12,Conotoxin T superfamily,mature_seq (NO_SP),other,conotoxin
P0DP47,other,full_seq (SP),other,
P0DP48,other,mature_seq (NO_SP),other,
P0DPG6,other,full_seq (SP),other,conotoxin
P0DPJ8,Conotoxin M superfamily,mature_seq (NO_SP),other,conotoxin
P0DPK9,Conotoxin M superfamily,mature_seq (NO_SP),other,conotoxin
P0DPL0,Conotoxin M superfamily,mature_seq (NO_SP),other,conotoxin
P0DPL3,Conotoxin M superfamily,mature_seq (NO_SP),other,conotoxin
P0DPL4,Conotoxin T superfamily,mature_seq (NO_SP),other,conotoxin
P0DPL5,Conotoxin T superfamily,mature_seq (NO_SP),other,conotoxin
P0DPL6,Conotoxin T superfamily,mature_seq (NO_SP),other,conotoxin
P0DPM2,Conotoxin A superfamily,mature_seq (NO_SP),other,conotoxin
P0DPV7,other,full_seq (SP),other,
P0DPV8,other,full_seq (SP),other,
P0DPW0,other,full_seq (SP),other,
P0DPW3,other,full_seq (SP),other,scoloptoxin
P0DPW5,other,full_seq (SP),other,scoloptoxin
P0DPW8,other,full_seq (SP),other,scoloptoxin
P0DPX2,other,full_seq (SP),other,scoloptoxin
P0DPX3,other,mature_seq (NO_SP),other,scoloptoxin
P0DPX4,other,full_seq (SP),other,scoloptoxin
P0DPX6,other,mature_seq (NO_SP),other,scoloptoxin
P0DPX7,other,full_seq (SP),Scoloptoxin,scoloptoxin
P0DPX8,other,full_seq (SP),Scoloptoxin,scoloptoxin
P0DPX9,other,full_seq (SP),Scoloptoxin,scoloptoxin
P0DPY0,other,full_seq (SP),Scoloptoxin,scoloptoxin
P0DPY1,other,full_seq (SP),Scoloptoxin,scoloptoxin
P0DPY2,other,full_seq (SP),other,scoloptoxin
P0DPY3,other,full_seq (SP),other,scoloptoxin
P0DPY6,other,full_seq (SP),other,scoloptoxin
P0DPY7,other,mature_seq (NO_SP),other,scoloptoxin
P0DPY9,other,full_seq (SP),other,scoloptoxin
P0DPZ0,other,full_seq (SP),other,scoloptoxin
P0DPZ1,other,full_seq (SP),other,scoloptoxin
P0DPZ4,other,full_seq (SP),other,scoloptoxin
P0DPZ5,other,full_seq (SP),other,scoloptoxin
P0DPZ6,other,full_seq (SP),other,scoloptoxin
P0DPZ8,other,full_seq (SP),other,scoloptoxin
P0DPZ9,other,full_seq (SP),other,scoloptoxin
P0DQA1,other,mature_seq (NO_SP),other,scoloptoxin
P0DQA2,other,full_seq (SP),other,scoloptoxin
P0DQA7,other,mature_seq (NO_SP),other,scoloptoxin
P0DQA9,other,full_seq (SP),other,scoloptoxin
P0DQB1,other,mature_seq (NO_SP),other,scoloptoxin
P0DQB3,other,full_seq (SP),other,scoloptoxin
P0DQB4,other,full_seq (SP),other,scoloptoxin
P0DQB5,other,full_seq (SP),other,scoloptoxin
P0DQB9,other,full_seq (SP),other,scoloptoxin
P0DQC3,other,full_seq (SP),other,scoloptoxin
P0DQC6,other,mature_seq (NO_SP),other,scoloptoxin
P0DQC9,other,mature_seq (NO_SP),other,scoloptoxin
P0DQE0,other,full_seq (SP),other,scoloptoxin
P0DQE4,other,full_seq (SP),other,scoloptoxin
P0DQE5,other,full_seq (SP),other,scoloptoxin
P0DQE6,other,full_seq (SP),other,scoloptoxin
P0DQE7,other,full_seq (SP),other,scoloptoxin
P0DQE9,other,full_seq (SP),other,scoloptoxin
P0DQF0,other,full_seq (SP),other,scoloptoxin
P0DQF1,other,full_seq (SP),other,scoloptoxin
P0DQF2,other,full_seq (SP),other,scoloptoxin
P0DQF3,other,full_seq (SP),other,scoloptoxin
P0DQF4,other,full_seq (SP),other,scoloptoxin
P0DQF5,other,full_seq (SP),other,scoloptoxin
P0DQF6,other,full_seq (SP),other,scoloptoxin
P0DQF7,other,full_seq (SP),other,scoloptoxin
P0DQF8,other,mature_seq (NO_SP),other,scoloptoxin
P0DQF9,other,full_seq (SP),other,scoloptoxin
P0DQG0,other,full_seq (SP),other,scoloptoxin
P0DQG1,other,full_seq (SP),other,scoloptoxin
P0DQG4,other,mature_seq (NO_SP),other,scoloptoxin
P0DQG5,other,full_seq (SP),other,scoloptoxin
P0DQG6,other,full_seq (SP),other,scoloptoxin
P0DQG8,other,full_seq (SP),other,scoloptoxin
P0DQH1,other,full_seq (SP),other,scoloptoxin
P0DQI9,other,full_seq (SP),other,
P0DQJ0,other,full_seq (SP),other,
P0DQJ1,other,mature_seq (NO_SP),other,
P0DQN4,other,full_seq (SP),other,scorpion_long_toxin
P0DQT8,other,full_seq (SP),other,antimicrobial_peptide
P0DQU3,Short scorpion toxin superfamily,mature_seq (NO_SP),other,scorpion_ktx
P0DQU5,Short scorpion toxin superfamily,mature_seq (NO_SP),other,scorpion_ktx
P0DQX9,other,full_seq (SP),other,egf
P0DQY8,other,mature_seq (NO_SP),other,
P0DRC6,Long (4 C-C) scorpion toxin superfamily,mature_seq (NO_SP),other,scorpion_long_toxin
P0DRD6,other,full_seq (SP),other,
P0DSI6,Formicidae venom precursor-01 superfamily,full_seq (SP),other,
P0DSI9,other,mature_seq (NO_SP),other,
P0DSJ7,other,full_seq (SP),other,
P0DSK1,Formicidae venom precursor-01 superfamily,full_seq (SP),other,
P0DSL1,other,mature_seq (NO_SP),other,
P0DSL2,other,mature_seq (NO_SP),other,
P0DSL3,other,mature_seq (NO_SP),other,
P0DSM3,Non-disulfide-bridged peptide (NDBP) superfamily,mature_seq (NO_SP),other,antimicrobial_peptide
P0DSM9,Snake three-finger toxin family,mature_seq (NO_SP),3FTX,three_finger_toxin
P0DTX2,Conotoxin O1 superfamily,full_seq (SP),other,conotoxin
P0DTX7,Conotoxin O1 superfamily,full_seq (SP),other,conotoxin
P0DTY0,Conotoxin O1 superfamily,full_seq (SP),other,conotoxin
P0DTY4,Conotoxin O1 superfamily,full_seq (SP),other,conotoxin
P0DTY5,Conotoxin O1 superfamily,full_seq (SP),other,conotoxin
P0DTY9,Conotoxin O1 superfamily,full_seq (SP),other,conotoxin
P0DTZ1,Conotoxin O1 superfamily,full_seq (SP),other,conotoxin
P0DTZ5,Conotoxin O1 superfamily,full_seq (SP),other,conotoxin
P0DTZ6,Conotoxin O1 superfamily,full_seq (SP),other,conotoxin
P0DUA0,Conotoxin O1 superfamily,full_seq (SP),other,conotoxin
P0DUQ8,other,mature_seq (NO_SP),other,conotoxin
P0DV13,other,mature_seq (NO_SP),other,
P0DV80,Bradykinin-potentiating peptide family,mature_seq (NO_SP),other,bradykinin_related
P0DV81,Bradykinin-potentiating peptide family,mature_seq (NO_SP),other,bradykinin_related
P0DX99,other,full_seq (SP),other,neurotoxin
P0DXA0,other,full_seq (SP),other,
P0DXT9,other,full_seq (SP),other,
P0DXU1,other,full_seq (SP),other,
P0DXW3,other,full_seq (SP),other,
P0DXW4,other,full_seq (SP),other,
P0DXW5,other,full_seq (SP),other,
P0DXW6,other,full_seq (SP),other,
P0DXW8,other,full_seq (SP),other,
P0DXW9,other,full_seq (SP),other,
P14534,Snake three-finger toxin family,mature_seq (NO_SP),3FTX,three_finger_toxin
P15221,Long (4 C-C) scorpion toxin superfamily,mature_seq (NO_SP),other,scorpion_long_toxin
P19003,Snake three-finger toxin family,mature_seq (NO_SP),3FTX,three_finger_toxin
P24159,Conotoxin O1 superfamily,mature_seq (NO_SP),other,conotoxin
P25676,Snake three-finger toxin family,mature_seq (NO_SP),3FTX,three_finger_toxin
P58849,Conotoxin T superfamily,mature_seq (NO_SP),other,conotoxin
P61100,other,mature_seq (NO_SP),other,neurotoxin
P61229,other,full_seq (SP),other,neurotoxin
P61504,other,mature_seq (NO_SP),other,neurotoxin
P68420,Neurotoxin 14 (magi-1) family,mature_seq (NO_SP),other,neurotoxin
P68423,Neurotoxin 14 (magi-1) family,mature_seq (NO_SP),other,neurotoxin
P69496,other,full_seq (SP),other,conotoxin
P69756,Conotoxin O1 superfamily,mature_seq (NO_SP),other,conotoxin
P80163,other,mature_seq (NO_SP),other,
P81885,other,mature_seq (NO_SP),other,neurotoxin
P82464,Snake three-finger toxin family,mature_seq (NO_SP),3FTX,three_finger_toxin
P82885,other,mature_seq (NO_SP),other,
P84017,other,mature_seq (NO_SP),other,neurotoxin
P84716,Snake three-finger toxin family,mature_seq (NO_SP),3FTX,three_finger_toxin
P85016,Conotoxin M superfamily,mature_seq (NO_SP),other,conotoxin
P85019,Conotoxin M superfamily,mature_seq (NO_SP),other,conotoxin
P85020,Conotoxin M superfamily,mature_seq (NO_SP),other,conotoxin
P85038,Bradykinin-potentiating peptide family,mature_seq (NO_SP),other,bradykinin_related
P86263,Conotoxin M superfamily,mature_seq (NO_SP),other,conotoxin
Q0PL65,Venom Kunitz-type family,mature_seq (NO_SP),other,venom_kunitz
Q1A3Q5,Conotoxin T superfamily,full_seq (SP),other,conotoxin
Q1A3Q6,Conotoxin T superfamily,mature_seq (NO_SP),other,conotoxin
Q2I2P2,other,full_seq (SP),other,conotoxin
Q2I2P4,other,full_seq (SP),other,conotoxin
Q2I2Q2,Conotoxin M superfamily,full_seq (SP),other,conotoxin
Q2VBN0,Snake three-finger toxin family,mature_seq (NO_SP),3FTX,three_finger_toxin
Q2XXP1,other,mature_seq (NO_SP),other,crisp_related
Q2XXR8,other,full_seq (SP),other,
Q3YEE3,Conotoxin O1 superfamily,full_seq (SP),other,conotoxin
Q3YEE5,Conotoxin O1 superfamily,full_seq (SP),other,conotoxin
Q3YEF7,Conotoxin O2 superfamily,full_seq (SP),other,conotoxin
Q3YEF8,Conotoxin O2 superfamily,full_seq (SP),other,conotoxin
Q4JCS1,Venom metalloproteinase (M12B) family,mature_seq (NO_SP),other,metalloproteinase
Q4LCT1,Long (3 C-C) scorpion toxin superfamily,full_seq (SP),other,scorpion_long_toxin
Q53B48,Snake three-finger toxin family,full_seq (SP),3FTX,three_finger_toxin
Q53B55,Snake three-finger toxin family,full_seq (SP),3FTX,three_finger_toxin
Q5Y4U2,other,full_seq (SP),other,neurotoxin
Q5Y4U3,other,full_seq (SP),other,neurotoxin
Q5Y4U4,Neurotoxin 02 (plectoxin) family,full_seq (SP),other,neurotoxin
Q5Y4V9,other,full_seq (SP),other,venom_protein_other
Q5Y4Y0,other,mature_seq (NO_SP),other,neurotoxin
Q66S17,other,full_seq (SP),other,
Q6XLL8,Short scorpion toxin superfamily,mature_seq (NO_SP),other,scorpion_ktx
Q7Z0A1,Conotoxin I1 superfamily,mature_seq (NO_SP),other,conotoxin
Q7ZT13,Snake three-finger toxin family,mature_seq (NO_SP),3FTX,three_finger_toxin
Q86QV3,other,mature_seq (NO_SP),other,scorpion_ktx
Q8MTX1,other,full_seq (SP),other,neurotoxin
Q8QGP7,Natriuretic peptide family,mature_seq (NO_SP),other,
Q8T3S7,Venom Kunitz-type family,mature_seq (NO_SP),other,venom_kunitz
Q9BHA0,Conotoxin O2 superfamily,mature_seq (NO_SP),other,conotoxin
Q9BN11,Short scorpion toxin superfamily,mature_seq (NO_SP),other,scorpion_short_toxin
Q9BP67,other,mature_seq (NO_SP),other,conotoxin
Q9BP77,Conotoxin O1 superfamily,full_seq (SP),other,conotoxin
Q9BP90,Conotoxin O1 superfamily,mature_seq (NO_SP),other,conotoxin
Q9BPC3,Conotoxin O2 superfamily,mature_seq (NO_SP),other,conotoxin
Q9BPJ4,Conotoxin M superfamily,full_seq (SP),other,conotoxin
Q9TWR4,Non-disulfide-bridged peptide (NDBP) superfamily,mature_seq (NO_SP),other,
Q9U6Z5,Conotoxin T superfamily,full_seq (SP),other,conotoxin
V9ISG0,other,mature_seq (NO_SP),other,neurotoxin
W4VRU9,other,mature_seq (NO_SP),other,neurotoxin
W4VRV3,Neurotoxin 14 (magi-1) family,full_seq (SP),other,neurotoxin
W4VRY7,Neurotoxin 14 (magi-1) family,full_seq (SP),other,neurotoxin
W4VS32,other,full_seq (SP),other,neurotoxin
W4VS70,other,mature_seq (NO_SP),other,
W4VSB0,other,mature_seq (NO_SP),other,neurotoxin
W4VSB6,other,full_seq (SP),other,conotoxin
W4VSB9,other,full_seq (SP),other,neurotoxin
W4VSG7,other,full_seq (SP),other,conotoxin
W4VSI6,other,full_seq (SP),other,neurotoxin
W4VSI9,Neurotoxin 10 (Hwtx-1) family,mature_seq (NO_SP),other,neurotoxin
I6R1R5,other,full_seq (SP),Scoloptoxin,scoloptoxin
P0DPX5,other,full_seq (SP),Scoloptoxin,scoloptoxin
